GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4712650,,3580350,353,4600250,2559,3481375,2238
Alabama,Not Hispanic or Latino,04000US01,2,4550280,557,3476640,459,4509035,1942,3440535,1685
Alabama,American Indian or Alaska Native Alone,04000US01,3,23680,1096,17370,700,23580,1107,17270,704
Alabama,Asian Alone,04000US01,4,51035,877,38400,506,30690,1127,21035,836
Alabama,Black or African American Alone,04000US01,5,1227755,2228,880685,1314,1222435,2278,875795,1438
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1350,377,960,290,1290,366,900,281
Alabama,White Alone,04000US01,7,3192040,664,2507735,536,3176965,1555,2494380,1263
Alabama,American Indian or Alaska Native and White,04000US01,8,22310,943,17935,694,22295,944,17920,691
Alabama,Asian and White,04000US01,9,6775,701,3480,359,6640,697,3345,356
Alabama,Black or African American and White,04000US01,10,15915,1418,3985,601,15895,1415,3960,599
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,3955,553,3150,482,3955,553,3150,482
Alabama,Remainder of Two or More Race Responses,04000US01,12,5470,697,2935,425,5295,677,2775,412
Alabama,Hispanic or Latino,04000US01,13,162370,557,103705,405,91215,1928,40840,1630
Alaska,Total,04000US02,1,691190,,506040,162,666200,1478,483060,1342
Alaska,Not Hispanic or Latino,04000US02,2,652795,632,481740,632,632800,1373,463385,1264
Alaska,American Indian or Alaska Native Alone,04000US02,3,96040,1793,64730,1142,95910,1774,64620,1127
Alaska,Asian Alone,04000US02,4,35590,1011,27690,756,24360,871,17425,565
Alaska,Black or African American Alone,04000US02,5,21575,692,16260,498,20045,626,14795,405
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,6090,339,3890,257,5675,332,3505,245
Alaska,White Alone,04000US02,7,445095,777,345335,675,438695,1026,339420,888
Alaska,American Indian or Alaska Native and White,04000US02,8,29400,1432,16930,939,29345,1434,16915,935
Alaska,Asian and White,04000US02,9,6170,642,2530,371,6055,629,2465,350
Alaska,Black or African American and White,04000US02,10,4715,614,1240,294,4695,615,1225,293
