GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4633360,,3509575,395,4540240,2821,3430110,2355
Alabama,Not Hispanic or Latino,04000US01,2,4503140,487,3432640,390,4464050,2027,3398560,1759
Alabama,American Indian or Alaska Native Alone,04000US01,3,21440,977,15970,696,21390,984,15920,702
Alabama,Asian Alone,04000US01,4,46595,758,34485,466,29235,971,19770,806
Alabama,Black or African American Alone,04000US01,5,1206705,1790,866840,974,1201460,2094,862110,1212
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1495,384,915,319,1440,363,860,307
Alabama,White Alone,04000US01,7,3177270,119,2485540,119,3161275,1296,2471330,1089
Alabama,American Indian or Alaska Native and White,04000US01,8,20945,812,16985,592,20930,807,16965,586
Alabama,Asian and White,04000US01,9,5555,618,2670,336,5415,602,2575,328
Alabama,Black or African American and White,04000US01,10,14625,1400,3470,547,14600,1400,3445,552
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,3780,716,3030,541,3780,716,3030,541
Alabama,Remainder of Two or More Race Responses,04000US01,12,4720,656,2735,424,4530,643,2560,402
Alabama,Hispanic or Latino,04000US01,13,130220,487,76935,374,76190,1676,31550,1342
Alaska,Total,04000US02,1,683140,,499975,185,661145,1467,479940,1274
Alaska,Not Hispanic or Latino,04000US02,2,643480,283,474725,286,626315,1270,458995,1117
Alaska,American Indian or Alaska Native Alone,04000US02,3,90310,1623,61400,1219,90150,1619,61280,1212
Alaska,Asian Alone,04000US02,4,31420,712,24440,491,22155,726,16055,601
Alaska,Black or African American Alone,04000US02,5,24400,981,17690,616,23155,956,16525,592
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,4100,269,2785,187,3810,271,2510,169
Alaska,White Alone,04000US02,7,449160,5,346310,13,443095,774,340635,729
Alaska,American Indian or Alaska Native and White,04000US02,8,26865,1249,15785,872,26820,1254,15770,875
Alaska,Asian and White,04000US02,9,5495,621,2115,333,5445,616,2070,322
Alaska,Black or African American and White,04000US02,10,5045,833,1380,373,5020,832,1355,367
Alaska,American Indian or Alaska Native and Black or African American,04000US02,11,1390,283,660,177,1365,277,630,171
Alaska,Remainder of Two or More Race Responses,04000US02,12,5295,689,2170,354,5295,689,2170,354
Alaska,Hispanic or Latino,04000US02,13,39660,283,25250,240,34830,869,20945,729
Arizona,Total,04000US04,1,6324865,,4652195,277,5678035,8872,4087550,7380
Arizona,Not Hispanic or Latino,04000US04,2,4442985,,3476490,279,4306760,3588,3354575,3066
Arizona,American Indian or Alaska Native Alone,04000US04,3,261265,1739,173380,1215,260530,1744,172715,1214
Arizona,Asian Alone,04000US04,4,150260,1280,115420,667,101280,1877,71690,1552
Arizona,Black or African American Alone,04000US04,5,218000,2041,151190,920,204340,2309,140585,1458
Arizona,Native Hawaiian or Other Pacific Islander Alone,04000US04,6,10095,760,7300,554,8760,823,6210,606
Arizona,White Alone,04000US04,7,3712965,132,2985170,132,3642280,2707,2920090,2418
Arizona,American Indian or Alaska Native and White,04000US04,8,27760,1528,18860,1139,27650,1531,18750,1132
Arizona,Asian and White,04000US04,9,21540,1164,9340,618,21145,1188,8980,629
Arizona,Black or African American and White,04000US04,10,23335,1711,7190,694,23240,1694,7120,684
Arizona,American Indian or Alaska Native and Black or African American,04000US04,11,4165,799,2200,433,4165,799,2200,433
Arizona,Remainder of Two or More Race Responses,04000US04,12,13595,1421,6445,791,13365,1416,6235,776
Arizona,Hispanic or Latino,04000US04,13,1881880,,1175705,,1371275,7631,732975,6212
Arkansas,Total,04000US05,1,2838145,,2136965,570,2757895,2398,2067620,2058
Arkansas,Not Hispanic or Latino,04000US05,2,2684515,369,2046025,539,2663320,1310,2027105,1179
Arkansas,American Indian or Alaska Native Alone,04000US05,3,17950,778,12835,547,17905,782,12795,548
Arkansas,Asian Alone,04000US05,4,30940,677,22570,507,20355,789,13080,608
Arkansas,Black or African American Alone,04000US05,5,437725,1416,304450,737,436330,1471,303155,903
Arkansas,Native Hawaiian or Other Pacific Islander Alone,04000US05,6,2030,150,1420,141,1095,220,680,176
Arkansas,White Alone,04000US05,7,2153255,86,1680950,47,2145140,971,1673680,833
Arkansas,American Indian or Alaska Native and White,04000US05,8,22175,812,16920,627,22175,812,16920,627
Arkansas,Asian and White,04000US05,9,4545,591,1935,333,4460,608,1870,331
Arkansas,Black or African American and White,04000US05,10,11680,1336,2260,380,11645,1343,2245,384
Arkansas,American Indian or Alaska Native and Black or African American,04000US05,11,1830,376,1390,299,1830,376,1390,299
