GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4747425,,3615220,466,4633280,2849,3514600,2261
Alabama,Not Hispanic or Latino,04000US01,2,4573435,289,3504895,346,4533210,1898,3469490,1477
Alabama,American Indian or Alaska Native Alone,04000US01,3,24045,1181,17845,795,24015,1183,17815,798
Alabama,Asian Alone,04000US01,4,52495,754,39605,518,32885,1068,22655,830
Alabama,Black or African American Alone,04000US01,5,1239595,1812,894495,1020,1234325,1780,889640,1078
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1180,323,915,242,1130,321,870,244
Alabama,White Alone,04000US01,7,3198295,89,2519300,89,3183505,1346,2506185,1128
Alabama,American Indian or Alaska Native and White,04000US01,8,22710,986,18280,752,22710,986,18280,752
Alabama,Asian and White,04000US01,9,6920,625,3565,430,6660,616,3345,414
Alabama,Black or African American and White,04000US01,10,18135,1406,4185,534,18110,1408,4160,534
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,4435,726,3485,557,4435,726,3485,557
Alabama,Remainder of Two or More Race Responses,04000US01,12,5625,846,3225,500,5435,835,3055,489
Alabama,Hispanic or Latino,04000US01,13,173990,289,110325,467,100070,1972,45110,1673
Alaska,Total,04000US02,1,700705,,514605,327,677685,1309,493715,1154
Alaska,Not Hispanic or Latino,04000US02,2,661490,88,489800,307,642515,1210,472745,1028
Alaska,American Indian or Alaska Native Alone,04000US02,3,95425,1665,65205,1006,95350,1677,65140,1020
Alaska,Asian Alone,04000US02,4,35605,736,27270,462,25280,864,17975,651
Alaska,Black or African American Alone,04000US02,5,22250,649,16615,371,21000,667,15390,435
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,6595,346,4205,207,6225,380,3845,220
Alaska,White Alone,04000US02,7,452105,16,352380,264,445465,918,346465,752
Alaska,American Indian or Alaska Native and White,04000US02,8,29505,1521,16715,881,29395,1507,16690,880
Alaska,Asian and White,04000US02,9,6615,659,2675,369,6540,665,2630,370
Alaska,Black or African American and White,04000US02,10,4590,607,1290,294,4580,606,1280,295
Alaska,American Indian or Alaska Native and Black or African American,04000US02,11,2225,610,900,244,2225,610,900,244
Alaska,Remainder of Two or More Race Responses,04000US02,12,6575,798,2545,407,6460,779,2430,390
Alaska,Hispanic or Latino,04000US02,13,39210,90,24805,113,35170,590,20965,580
Arizona,Total,04000US04,1,6337375,,4714130,260,5754585,8561,4197365,6623
Arizona,Not Hispanic or Latino,04000US04,2,4473000,,3544225,255,4329825,4278,3415930,3394
Arizona,American Indian or Alaska Native Alone,04000US04,3,257345,1673,173680,1139,256810,1679,173190,1149
Arizona,Asian Alone,04000US04,4,169485,2065,132630,1091,114265,2840,83365,2035
Arizona,Black or African American Alone,04000US04,5,239695,1905,170180,933,225495,2185,159260,1369
Arizona,Native Hawaiian or Other Pacific Islander Alone,04000US04,6,11155,526,8325,339,10100,585,7350,423
Arizona,White Alone,04000US04,7,3696350,101,3009430,101,3626500,3084,2944635,2738
Arizona,American Indian or Alaska Native and White,04000US04,8,25920,1625,17835,1083,25680,1548,17720,1069
Arizona,Asian and White,04000US04,9,28025,1942,12615,1012,26640,1836,11445,948
Arizona,Black or African American and White,04000US04,10,25330,1709,9060,742,25005,1684,8785,730
Arizona,American Indian or Alaska Native and Black or African American,04000US04,11,4375,611,2405,426,4375,611,2405,426
Arizona,Remainder of Two or More Race Responses,04000US04,12,15315,1377,8065,702,14960,1369,7775,703
Arizona,Hispanic or Latino,04000US04,13,1864375,,1169905,,1424760,6802,781435,5234
Arkansas,Total,04000US05,1,2895930,,2187715,408,2805055,2242,2108930,1929
Arkansas,Not Hispanic or Latino,04000US05,2,2718060,189,2081475,368,2693240,1236,2059610,1162
Arkansas,American Indian or Alaska Native Alone,04000US05,3,15845,896,11665,648,15820,897,11645,645
Arkansas,Asian Alone,04000US05,4,34825,796,25875,512,22290,1003,14765,756
Arkansas,Black or African American Alone,04000US05,5,447465,1302,312945,702,445930,1403,311500,816
Arkansas,Native Hawaiian or Other Pacific Islander Alone,04000US05,6,4860,282,2655,189,2245,370,810,250
Arkansas,White Alone,04000US05,7,2168910,84,1702705,52,2160925,862,1695350,804
Arkansas,American Indian or Alaska Native and White,04000US05,8,24330,890,18260,659,24330,890,18260,659
Arkansas,Asian and White,04000US05,9,4555,631,2110,379,4475,632,2060,380
Arkansas,Black or African American and White,04000US05,10,12550,1074,2660,343,12505,1074,2635,350
Arkansas,American Indian or Alaska Native and Black or African American,04000US05,11,1640,368,1095,224,1640,368,1095,224
Arkansas,Remainder of Two or More Race Responses,04000US05,12,3075,605,1500,311,3070,604,1490,311
Arkansas,Hispanic or Latino,04000US05,13,177870,188,106245,269,111815,1897,49320,1531
California,Total,04000US06,1,36969200,,27665680,548,31507515,33702,22684535,30824
California,Not Hispanic or Latino,04000US06,2,23216455,,18617810,429,21456790,14220,17027090,12847
California,American Indian or Alaska Native Alone,04000US06,3,153375,2645,119375,2035,152285,2626,118385,2028
California,Asian Alone,04000US06,4,4798445,9153,3819425,5093,3651135,9852,2784740,8222
California,Black or African American Alone,04000US06,5,2181510,5688,1639090,2940,2119490,5974,1584205,3434
California,Native Hawaiian or Other Pacific Islander Alone,04000US06,6,134545,1881,102165,1220,116520,2186,85665,1693
California,White Alone,04000US06,7,15107585,95,12475510,14,14596960,7596,12009835,6552
California,American Indian or Alaska Native and White,04000US06,8,155380,2528,116830,1930,154985,2526,116435,1922
California,Asian and White,04000US06,9,334595,7913,158295,4243,323215,7892,148890,4077
California,Black or African American and White,04000US06,10,142730,4450,59945,2042,140720,4420,58200,2008
California,American Indian or Alaska Native and Black or African American,04000US06,11,34330,2143,26675,1576,34295,2145,26635,1574
California,Remainder of Two or More Race Responses,04000US06,12,173960,5253,100500,3225,167190,5095,94095,3104
California,Hispanic or Latino,04000US06,13,13752745,,9047870,309,10050720,24834,5657440,22576
Colorado,Total,04000US08,1,4966060,,3753520,472,4647420,5429,3471375,4635
Colorado,Not Hispanic or Latino,04000US08,2,3954515,,3104695,456,3852720,2931,3014095,2464
Colorado,American Indian or Alaska Native Alone,04000US08,3,28350,1032,21955,678,28275,1039,21880,692
Colorado,Asian Alone,04000US08,4,133460,1360,102685,941,93760,2094,67795,1589
Colorado,Black or African American Alone,04000US08,5,187600,1655,137935,1065,174605,1862,126785,1372
Colorado,Native Hawaiian or Other Pacific Islander Alone,04000US08,6,5345,436,4055,374,4635,565,3480,467
Colorado,White Alone,04000US08,7,3499940,523,2785935,509,3452905,2149,2743165,1869
Colorado,American Indian or Alaska Native and White,04000US08,8,29270,1176,20985,824,29220,1174,20935,822
Colorado,Asian and White,04000US08,9,29440,1094,13370,757,28590,1099,12620,773
Colorado,Black or African American and White,04000US08,10,24795,1324,8485,700,24560,1304,8285,684
Colorado,American Indian or Alaska Native and Black or African American,04000US08,11,2520,478,1880,350,2520,478,1880,350
Colorado,Remainder of Two or More Race Responses,04000US08,12,13795,1058,7415,731,13645,1043,7265,729
Colorado,Hispanic or Latino,04000US08,13,1011545,,648825,211,794700,4383,457280,3592
Connecticut,Total,04000US09,1,3558170,,2737970,110,3305815,4401,2510770,3877
Connecticut,Not Hispanic or Latino,04000US09,2,3094765,,2429700,108,2929975,3610,2281870,3137
Connecticut,American Indian or Alaska Native Alone,04000US09,3,5480,562,4055,388,5165,556,3825,382
Connecticut,Asian Alone,04000US09,4,134905,946,100585,501,84425,1817,55740,1281
Connecticut,Black or African American Alone,04000US09,5,334765,1754,244220,992,298895,2394,212845,1931
Connecticut,Native Hawaiian or Other Pacific Islander Alone,04000US09,6,1215,169,875,169,1075,191,750,174
Connecticut,White Alone,04000US09,7,2565310,92,2053245,92,2488665,2579,1983225,2275
Connecticut,American Indian or Alaska Native and White,04000US09,8,9910,563,7205,394,9850,560,7190,392
Connecticut,Asian and White,04000US09,9,11390,906,4710,472,10755,885,4135,448
Connecticut,Black or African American and White,04000US09,10,20445,1384,7340,725,20095,1348,6985,688
Connecticut,American Indian or Alaska Native and Black or African American,04000US09,11,4240,812,3410,585,4230,806,3400,584
Connecticut,Remainder of Two or More Race Responses,04000US09,12,7100,950,4055,530,6815,919,3770,486
Connecticut,Hispanic or Latino,04000US09,13,463405,,308270,,375845,2897,228900,2482
Delaware,Total,04000US10,1,890855,,685400,,847540,1989,646475,1735
Delaware,Not Hispanic or Latino,04000US10,2,820660,,641120,,798800,1459,621030,1259
Delaware,American Indian or Alaska Native Alone,04000US10,3,2430,347,2020,273,2400,345,1990,269
Delaware,Asian Alone,04000US10,4,28670,415,21840,241,18820,774,12790,642
Delaware,Black or African American Alone,04000US10,5,185905,1005,133275,522,179720,1279,127745,796
Delaware,Native Hawaiian or Other Pacific Islander Alone,04000US10,6,260,139,250,138,260,139,250,138
Delaware,White Alone,04000US10,7,588230,89,476750,89,582655,722,471470,680
Delaware,American Indian or Alaska Native and White,04000US10,8,2575,347,1840,273,2570,347,1835,274
Delaware,Asian and White,04000US10,9,2580,422,1225,253,2530,420,1175,248
Delaware,Black or African American and White,04000US10,10,6445,710,1630,305,6395,708,1600,307
Delaware,American Indian or Alaska Native and Black or African American,04000US10,11,1450,388,1055,241,1450,387,1055,241
Delaware,Remainder of Two or More Race Responses,04000US10,12,2115,560,1230,329,2005,547,1120,320
Delaware,Hispanic or Latino,04000US10,13,70195,,44280,,48735,1226,25445,1020
District of Columbia,Total,04000US11,1,593955,,490930,158,544115,2198,444270,1993
District of Columbia,Not Hispanic or Latino,04000US11,2,540585,,449655,157,511935,1788,422735,1602
District of Columbia,American Indian or Alaska Native Alone,04000US11,3,1395,196,1200,187,1395,196,1200,187
District of Columbia,Asian Alone,04000US11,4,20800,401,18960,350,14520,652,12970,575
District of Columbia,Black or African American Alone,04000US11,5,305550,658,237170,476,295710,1472,228330,1202
District of Columbia,Native Hawaiian or Other Pacific Islander Alone,04000US11,6,310,70,245,57,275,85,230,60
District of Columbia,White Alone,04000US11,7,203305,95,185430,95,191125,901,173650,880
District of Columbia,American Indian or Alaska Native and White,04000US11,8,660,183,620,171,660,183,620,171
District of Columbia,Asian and White,04000US11,9,2865,395,1900,341,2660,365,1705,303
District of Columbia,Black or African American and White,04000US11,10,2540,397,1780,326,2460,397,1695,329
District of Columbia,American Indian or Alaska Native and Black or African American,04000US11,11,1015,302,855,268,1015,302,855,268
District of Columbia,Remainder of Two or More Race Responses,04000US11,12,2140,418,1495,299,2120,419,1475,298
District of Columbia,Hispanic or Latino,04000US11,13,53370,,41280,,32180,1155,21535,997
Florida,Total,04000US12,1,18688785,,14682955,716,16821315,16164,12998250,14645
Florida,Not Hispanic or Latino,04000US12,2,14566030,194,11639485,678,13853105,9232,10994690,8335
Florida,American Indian or Alaska Native Alone,04000US12,3,40580,1784,32205,1250,39950,1823,31585,1297
Florida,Asian Alone,04000US12,4,455000,2767,356530,1677,321205,3881,236210,3206
Florida,Black or African American Alone,04000US12,5,2848420,4532,2022920,2428,2577395,7490,1784935,5594
Florida,Native Hawaiian or Other Pacific Islander Alone,04000US12,6,10570,734,8035,568,9305,740,6960,546
Florida,White Alone,04000US12,7,10963405,816,9088970,753,10667325,5860,8813115,5481
Florida,American Indian or Alaska Native and White,04000US12,8,56020,1757,44475,1322,55825,1731,44280,1303
Florida,Asian and White,04000US12,9,56740,2454,29320,1609,53590,2193,26540,1324
Florida,Black or African American and White,04000US12,10,88905,3540,27740,1578,85935,3436,25340,1479
Florida,American Indian or Alaska Native and Black or African American,04000US12,11,10950,1161,7955,720,10735,1156,7755,705
Florida,Remainder of Two or More Race Responses,04000US12,12,35435,2437,21340,1552,31845,2156,17975,1299
Florida,Hispanic or Latino,04000US12,13,4122760,195,3043465,290,2968205,12139,2003560,10673
Georgia,Total,04000US13,1,9600610,,7121935,803,8998955,8258,6588330,7669
Georgia,Not Hispanic or Latino,04000US13,2,8776575,775,6599875,891,8525885,5744,6377920,5215
Georgia,American Indian or Alaska Native Alone,04000US13,3,18830,993,15175,876,18470,978,14825,862
