GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4777325,,3647095,348,4661595,2494,3544660,2211
Alabama,Not Hispanic or Latino,04000US01,2,4595060,566,3531765,544,4553725,1768,3495510,1557
Alabama,American Indian or Alaska Native Alone,04000US01,3,23760,873,17900,604,23730,878,17870,605
Alabama,Asian Alone,04000US01,4,55045,956,41145,640,34060,1018,23105,789
Alabama,Black or African American Alone,04000US01,5,1250855,1837,907645,1129,1245335,1873,902495,1223
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1210,287,1000,211,1140,270,930,204
Alabama,White Alone,04000US01,7,3205445,28,2531195,28,3191405,1219,2518805,1033
Alabama,American Indian or Alaska Native and White,04000US01,8,23105,857,18440,634,23105,857,18440,634
Alabama,Asian and White,04000US01,9,6945,716,3870,474,6515,673,3510,432
Alabama,Black or African American and White,04000US01,10,19460,1374,4485,593,19425,1367,4450,586
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,3850,648,2905,473,3850,648,2905,473
Alabama,Remainder of Two or More Race Responses,04000US01,12,5380,696,3185,436,5160,685,3005,432
Alabama,Hispanic or Latino,04000US01,13,182270,568,115330,580,107870,2108,49150,1580
Alaska,Total,04000US02,1,711140,,524515,169,687560,1182,503360,1050
Alaska,Not Hispanic or Latino,04000US02,2,670770,25,499030,130,651100,1157,481540,1003
Alaska,American Indian or Alaska Native Alone,04000US02,3,97045,1486,66315,934,96995,1499,66270,948
Alaska,Asian Alone,04000US02,4,37665,948,28945,609,25865,1194,18425,860
Alaska,Black or African American Alone,04000US02,5,22765,671,16820,396,21595,675,15730,403
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,7125,311,4460,199,6550,328,3925,213
Alaska,White Alone,04000US02,7,455485,15,357280,8,449800,671,352210,499
Alaska,American Indian or Alaska Native and White,04000US02,8,29960,1399,17295,865,29875,1414,17260,870
Alaska,Asian and White,04000US02,9,6735,681,2805,360,6625,682,2760,362
Alaska,Black or African American and White,04000US02,10,4275,605,1355,325,4265,606,1345,325
Alaska,American Indian or Alaska Native and Black or African American,04000US02,11,2365,485,955,227,2365,485,955,227
Alaska,Remainder of Two or More Race Responses,04000US02,12,7345,855,2800,328,7165,814,2660,306
Alaska,Hispanic or Latino,04000US02,13,40370,26,25485,94,36465,503,21820,454
Arizona,Total,04000US04,1,6410980,,4786330,191,5854320,7510,4285735,6162
Arizona,Not Hispanic or Latino,04000US04,2,4508035,,3583805,194,4366595,3730,3456085,3171
Arizona,American Indian or Alaska Native Alone,04000US04,3,257730,1821,175785,1205,257190,1831,175270,1223
Arizona,Asian Alone,04000US04,4,174790,1694,137135,1199,121775,2241,89470,1900
Arizona,Black or African American Alone,04000US04,5,247320,2215,176910,963,233430,2760,166125,1431
Arizona,Native Hawaiian or Other Pacific Islander Alone,04000US04,6,11630,403,8545,271,10495,511,7495,394
Arizona,White Alone,04000US04,7,3710875,31,3031255,31,3640800,2792,2965865,2547
Arizona,American Indian or Alaska Native and White,04000US04,8,27945,1555,18985,1059,27680,1530,18855,1055
Arizona,Asian and White,04000US04,9,30510,1543,14050,1075,29015,1505,12730,1023
Arizona,Black or African American and White,04000US04,10,26705,1919,9535,797,26355,1885,9230,772
Arizona,American Indian or Alaska Native and Black or African American,04000US04,11,4465,936,2640,529,4465,936,2640,529
Arizona,Remainder of Two or More Race Responses,04000US04,12,16065,1495,8965,927,15390,1412,8410,862
Arizona,Hispanic or Latino,04000US04,13,1902945,,1202520,,1487725,6384,829650,5213
Arkansas,Total,04000US05,1,2916370,,2206990,356,2825190,2586,2126800,2280
Arkansas,Not Hispanic or Latino,04000US05,2,2731135,173,2096225,333,2705335,1379,2073295,1236
Arkansas,American Indian or Alaska Native Alone,04000US05,3,16075,862,11825,663,16000,873,11750,670
Arkansas,Asian Alone,04000US05,4,35565,837,26660,517,22490,982,14935,744
Arkansas,Black or African American Alone,04000US05,5,450950,1283,317210,653,449550,1233,315920,657
Arkansas,Native Hawaiian or Other Pacific Islander Alone,04000US05,6,5390,290,3110,192,2470,371,940,265
Arkansas,White Alone,04000US05,7,2175340,28,1710780,28,2167235,905,1703290,834
Arkansas,American Indian or Alaska Native and White,04000US05,8,24725,922,18720,727,24705,919,18700,724
Arkansas,Asian and White,04000US05,9,5130,784,2205,451,5005,760,2095,426
Arkansas,Black or African American and White,04000US05,10,12935,963,2855,371,12895,951,2830,369
Arkansas,American Indian or Alaska Native and Black or African American,04000US05,11,1415,407,960,223,1415,407,960,223
Arkansas,Remainder of Two or More Race Responses,04000US05,12,3600,605,1905,345,3570,602,1880,340
Arkansas,Hispanic or Latino,04000US05,13,185240,174,110765,184,119855,2428,53500,1958
California,Total,04000US06,1,37325070,,28042260,496,31901200,30817,23072670,27290
California,Not Hispanic or Latino,04000US06,2,23300960,,18759100,415,21535670,14641,17157635,12396
California,American Indian or Alaska Native Alone,04000US06,3,150005,2791,117070,2209,149150,2813,116320,2240
California,Asian Alone,04000US06,4,4894225,9092,3909795,5399,3744100,10591,2868290,8767
California,Black or African American Alone,04000US06,5,2174885,5257,1650300,3091,2112355,5644,1594765,3457
California,Native Hawaiian or Other Pacific Islander Alone,04000US06,6,136855,2121,104200,1284,118685,2174,87535,1555
California,White Alone,04000US06,7,15049410,6,12476880,3,14540250,6999,12011065,5979
