GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4799275,,3675910,484,4684875,2987,3573935,2439
Alabama,Not Hispanic or Latino,04000US01,2,4610985,529,3557120,628,4569290,1842,3520755,1523
Alabama,American Indian or Alaska Native Alone,04000US01,3,23065,962,17645,756,23045,962,17625,758
Alabama,Asian Alone,04000US01,4,57290,924,43105,712,35470,1256,24365,983
Alabama,Black or African American Alone,04000US01,5,1257385,1788,918900,1032,1251565,1894,913605,1216
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1240,218,1040,182,1175,206,990,171
Alabama,White Alone,04000US01,7,3209270,27,2542020,27,3196010,1130,2530325,930
Alabama,American Indian or Alaska Native and White,04000US01,8,24500,1027,19290,815,24500,1027,19290,815
Alabama,Asian and White,04000US01,9,7325,694,4075,440,6820,671,3670,433
Alabama,Black or African American and White,04000US01,10,21660,1645,5015,568,21615,1648,4970,572
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,3715,582,2750,418,3715,582,2750,418
Alabama,Remainder of Two or More Race Responses,04000US01,12,5535,832,3285,482,5375,828,3165,475
Alabama,Hispanic or Latino,04000US01,13,188295,530,118790,556,115585,2042,53180,1743
Alaska,Total,04000US02,1,720315,,532445,181,696930,1107,511675,872
Alaska,Not Hispanic or Latino,04000US02,2,677485,125,505225,200,658125,1052,488175,803
Alaska,American Indian or Alaska Native Alone,04000US02,3,98700,1442,67555,907,98665,1438,67520,902
Alaska,Asian Alone,04000US02,4,38935,955,29660,521,27190,1221,19370,755
Alaska,Black or African American Alone,04000US02,5,23880,607,17570,368,22605,680,16380,461
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,7670,371,4750,225,7120,439,4240,279
Alaska,White Alone,04000US02,7,457840,57,360180,12,452485,726,355405,585
Alaska,American Indian or Alaska Native and White,04000US02,8,29295,1230,16740,803,29205,1222,16710,798
Alaska,Asian and White,04000US02,9,6705,736,3005,390,6600,740,2965,397
Alaska,Black or African American and White,04000US02,10,4040,566,1410,302,4040,566,1410,302
Alaska,American Indian or Alaska Native and Black or African American,04000US02,11,2465,559,1050,264,2465,559,1050,264
Alaska,Remainder of Two or More Race Responses,04000US02,12,7960,945,3305,448,7755,923,3120,425
Alaska,Hispanic or Latino,04000US02,13,42830,125,27220,132,38805,626,23505,548
Arizona,Total,04000US04,1,6479705,,4858660,201,5934895,7540,4363640,6279
Arizona,Not Hispanic or Latino,04000US04,2,4543755,,3622545,200,4400615,3783,3492625,3167
Arizona,American Indian or Alaska Native Alone,04000US04,3,259765,1876,178355,1289,259270,1905,177885,1303
Arizona,Asian Alone,04000US04,4,180375,1746,142095,1109,126385,2354,93875,2018
Arizona,Black or African American Alone,04000US04,5,253890,2240,182760,1057,239405,2601,171290,1496
Arizona,Native Hawaiian or Other Pacific Islander Alone,04000US04,6,11890,523,8930,312,11070,538,8130,367
Arizona,White Alone,04000US04,7,3724505,30,3051240,30,3654340,2505,2984980,2363
Arizona,American Indian or Alaska Native and White,04000US04,8,29140,1722,20280,1177,28900,1697,20135,1176
